"DEPARTAMENTO  DE  TRÂNSITO  DO  DISTRITO  FEDERAL
GERÊNCIA  DE  ESTATÍSTICA DE ACIDENTES  DE  TRÂNSITO";;;;
;;;;
ÍNDICE DE MORTOS POR 10.000 VEÍCULOS NO DISTRITO FEDERAL - 2010 a 2020;;;;
;;;;
;ANO;VÍTIMAS FATAIS;FROTA;ÍNDICE
;2020;177;1.886.372;0,9
;2019;278;1.840.659;1,5
;2018;277;1.773.295;1,6
;2017;254;1.716.878;1,5
;2016;390;1.665.165;2,3
;2015;354;1.622.396;2,2
;2014;406;1.563.382;2,6
;2013;384;1.491.539;2,6
;2012;418;1.403.788;3
;2011;465;1.317.721;3,5
;2010;461;1.233.000;3,7
