N_CANDIDATO;REELEICAO;DESPESAS;N_VOTOS ;VALOR_VOTO ;;
 AGOSTINHO CELIO ANDRADE PATRUS;0;872334,75;70055,00;12,45;;
 ALBERTO PINTO COELHO NETO;1;808126,45;28104,00;28,75;;
 ALENCAR MAGALHÇES DA SILVEIRA JUNIOR;0;778000,00;54373,00;14,31;;
 ANA PAULA SIQUEIRA;1;616504,04;23372,00;26,38;;
 ANDR QUINTÇO SILVA;0;528173,58;71615,00;7,38;;
 ANDREIA DE JESUS SILVA;1;8037,74;17689,00;0,45;;
 ANTâNIO CARLOS ARANTES;0;693209,75;69586,00;9,96;;
 ARLEN DE PAULO SANTIAGO FILHO;0;824847,64;82130,00;10,04;;
 BEATRIZ DA SILVA CERQUEIRA;1;140849,79;96824,00;1,45;;
 BERNARDO BARTOLOMEO MOREIRA;1;64644,43;31991,00;2,02;;
 BRAULIO JOS TANUS BRAZ;0;946598,44;51657,00;18,32;;
 BRUNO DE CASTRO ENGLER FLORENCIO DE ALMEIDA;1;4097,40;120252,00;0,03;;
 CARLOS HENRIQUE ALVES DA SILVA;0;219901,86;79088,00;2,78;;
 CARLOS HENRIQUE COELHO DE CAMPOS;1;14190,35;27867,00;0,51;;
 CARLOS WELTH PIMENTA DE FIGUEIREDO;0;775101,38;43492,00;17,82;;
 CASSIO ANTâNIO FERREIRA SOARES;0;780359,60;113003,00;6,91;;
CELISE BARREIROS LAVIOLA CABRAL DE LIRA;0;299804,41;57412,00;5,22;;
CHARLES DOS SANTOS;1;100004,30;67913,00;1,47;;
 CLEITON DE OLIVEIRA;1;138712,11;31347,00;4,43;;
 CLEITON GONTIJO DE AZEVEDO;1;24952,44;115492,00;0,22;;
 CRISTIANO TADEU DA SILVEIRA;0;257132,90;79079,00;3,25;;
 DALMO ROBERTO RIBEIRO SILVA;0;514118,91;69342,00;7,41;;
 DOORGAL GUSTAVO SAD LAFAYETTE DE ANDRADA;0;558644,17;57942,00;9,64;;
 ELISMAR FERNANDES PRADO;0;128314,40;53842,00;2,38;;
 FABIO JOSE DE OLIVEIRA;0;271278,71;83718,00;3,24;;
 FERNANDO PACHECO FIALHO;1;29736,57;25091,00;1,19;;
 GILBERTO WAGNER MARTINS PEREIRA ANTUNES;0;720483,02;52146,00;13,82;;
 GLYCON MOREIRA FRANCO;0;552671,67;60373,00;9,15;;
 GUILHERME DA CUNHA ANDRADE;1;67843,70;24792,00;2,74;;
 GUSTAVO DA CUNHA PEREIRA VALADARES;0;431082,39;60687,00;7,10;;
 GUSTAVO DE VASCONCELLOS MOREIRA;0;832057,11;36573,00;22,75;;
 GUSTAVO MARQUES CARVALHO MITRE;1;103538,73;21373,00;4,84;;
 HELI GERALDO DE ANDRADE;1;401600,00;75920,00;5,29;;
 HELY TARQUINIO;0;459915,78;64913,00;7,09;;
 INµCIO FRANCO;0;545594,66;42819,00;12,74;;
 IONE MARIA PINHEIRO;0;564992,26;55634,00;10,16;;
 IRINEU INACIO DA SILVA;1;218415,45;21845,00;10,00;;
 JEAN MARK FREIRE SILVA;0;379176,53;83024,00;4,57;;
 JEFERSON DOUGLAS SOARES ESTANISLAU;0;706365,58;49027,00;14,41;;
 JOÇO BOSCO;0;702000,00;42556,00;16,50;;
 JOÇO LEITE DA SILVA NETO;0;163522,36;56298,00;2,90;;
 JOÇO LéCIO MAGALHÇES BIFANO;0;589051,15;67874,00;8,68;;
 JOÇO VÖTOR XAVIER FAUSTINO;0;646548,66;75256,00;8,59;;
 JOS CLIO DE ALVARENGA;0;273796,58;35840,00;7,64;;
 JOSE GUILHERME FERREIRA FILHO;1;249612,21;19341,00;12,91;;
 JOS REIS NOGUEIRA DE BARROS;1;361595,70;45746,00;7,90;;
 LAURA MENDES SERRANO;1;21005,95;33813,00;0,62;;
 LEANDRO ANDRADE GENARO OLIVEIRA;0;149850,00;98717,00;1,52;;
 LEONARDO MORREALE DINIZ PORTELA;0;823354,73;93895,00;8,77;;
 LEONÖDIO HENRIQUE CORRÒA BOU€AS;0;873964,77;52624,00;16,61;;
 LUIZ HUMBERTO CARNEIRO;1;391495,82;50341,00;7,78;;
 LUIZ SµVIO DE SOUZA CRUZ;0;638347,11;74822,00;8,53;;
 LUIZ TADEU MARTINS LEITE;0;738148,07;72267,00;10,21;;
 MARCOS JOSERALDO LEMOS;1;71764,62;41852,00;1,71;;
 MµRIO HENRIQUE DA SILVA;0;362969,54;76527,00;4,74;;
 MARILENE ALVES DE SOUZA;1;71417,63;51407,00;1,39;;
 MARILIA APARECIDA CAMPOS;1;336639,26;71329,00;4,72;;
 MAURO HENRIQUE TRAMONTE;0;443309,26;516390,00;0,86;;
 NACIB DUARTE BECHIR;0;718900,00;56745,00;12,67;;
 NEILANDO ALVES PIMENTA;0;480000,00;60637,00;7,92;;
 NORALDINO LUCIO DIAS JUNIOR;0;747217,79;114807,00;6,51;;
 OSVALDO LOPES DE OLIVEIRA JUNIOR;1;52316,00;31161,00;1,68;;
 PAULO VALDIR FERREIRA;1;102600,00;48927,00;2,10;;
 RAFAEL MARTINS DE SOUZA;1;126848,20;27463,00;4,62;;
 RAUL JOSE DE BELEM;1;205889,77;31788,00;6,48;;
 ROBERTO CUPOLILLO;1;80231,03;35455,00;2,26;;
 ROBERTO DIAS DE ANDRADE;0;825867,41;41903,00;19,71;;
 ROS¶NGELA DE OLIVEIRA CAMPOS REIS;0;542464,39;70040,00;7,75;;
 SANDRO LéCIO FONSECA;1;97749,70;48533,00;2,01;;
 SHEILA APARECIDA PEDROSA DE MELLO OLIVEIRA;1;152592,01;80038,00;1,91;;
 THIAGO FELLIPE MOTTA COTA;0;290437,09;55870,00;5,20;;
 TITO BRUNO MIRANDA TORRES DUARTE;0;696010,09;78862,00;8,83;;
 ULYSSES GOMES DE OLIVEIRA NETO;0;151702,60;63776,00;2,38;;
 VIRGILIO GUIMARÇES DE PAULA;1;695494,53;91204,00;7,63;;
 WASHINGTON FERNANDO RODRIGUES;0;561313,12;123648,00;4,54;;
  WENDEL CRISTIANO SOARES DE MESQUITA;1;200845,30;31722,00;6,33;;
 WILSON ROBERTO BATISTA;0;565942,09;62052,00;9,12;;
;;;;;;
;;;;;;
