Consulta Dinâmica de Receita 2009
Unidade Gestora;Gestão;Categoria Econômica;Origem;Espécie;Rubrica;Alínea;Subalínea;Exercício;Mês;Receita Prevista;Receita Realizada;Diferença;% Realizado;
"AG. REG. DE ÁGUAS, ENERG. E SAN. BÁSIC.DO DF-ADASA";"AG. REG. DE ÁGUAS, ENERG. E SAN. BÁS.DO DF - ADASA";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"MULTAS E JUROS DE MORA";"MULTAS DE OUTRAS ORIGENS";"OUTRAS MULTAS";"DEMAIS MULTAS";"2009";;50.000,00;1.019,10;48.980,90;2,04;
"COMPANHIA DE DESENV. HABITACIONAL DO DF-CODHAB";"COMPANHIA DE DESENV. HABITACIONAL DO DF - CODHAB";"DEDUÇÕES/RESTITUIÇÕES DA RECEITA";"DEDUÇÃO DA RECEITA DE VENDAS E SERVIÇOS";"* COFINS";"* COFINS";"* COFINS";"* COFINS";"2009";;0,00;-179.756,16;179.756,16;0,00;
"COMPANHIA DE DESENV. HABITACIONAL DO DF-CODHAB";"COMPANHIA DE DESENV. HABITACIONAL DO DF - CODHAB";"DEDUÇÕES/RESTITUIÇÕES DA RECEITA";"DEDUÇÃO DA RECEITA DE VENDAS E SERVIÇOS";"* IMPOSTO SOBRE SERVIÇOS";"* IMPOSTO SOBRE SERVIÇOS";"* IMPOSTO SOBRE SERVIÇOS";"* IMPOSTO SOBRE SERVIÇOS";"2009";;0,00;-43.200,00;43.200,00;0,00;
"COMPANHIA DE DESENV. HABITACIONAL DO DF-CODHAB";"COMPANHIA DE DESENV. HABITACIONAL DO DF - CODHAB";"DEDUÇÕES/RESTITUIÇÕES DA RECEITA";"DEDUÇÃO DA RECEITA DE VENDAS E SERVIÇOS";"* PASEP";"* PASEP";"* PASEP";"* PASEP";"2009";;0,00;-39.026,00;39.026,00;0,00;
"COMPANHIA DE DESENV. HABITACIONAL DO DF-CODHAB";"COMPANHIA DE DESENV. HABITACIONAL DO DF - CODHAB";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"MULTAS E JUROS DE MORA";"MULTAS E JUROS DE MORA DE OUTRAS RECEITAS";"MULTAS E JUROS DE MORA DA ALIENAÇÃO DE OUTROS BENS IMÓVEIS";"MULTAS E JUROS DE MORA DA ALIENAÇÃO DE OUTROS BENS IMÓVEIS - SEDHUB/ID";"2009";;2.207,00;0,00;2.207,00;0,00;
"COMPANHIA DE DESENV. HABITACIONAL DO DF-CODHAB";"COMPANHIA DE DESENV. HABITACIONAL DO DF - CODHAB";"RECEITAS CORRENTES";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"SERVIÇOS ADMINISTRATIVOS";"SERVIÇOS DE ADMINISTRAÇÃO DE IMÓVEIS";"2009";;2.153.330,00;786.739,27;1.366.590,73;36,54;
"COMPANHIA DE DESENV. HABITACIONAL DO DF-CODHAB";"COMPANHIA DE DESENV. HABITACIONAL DO DF - CODHAB";"RECEITAS CORRENTES";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"SERVIÇOS ADMINISTRATIVOS";"TAXA DE ADMINISTRAÇÃO DE SERVIÇOS";"2009";;110.000,00;0,00;110.000,00;0,00;
"COMPANHIA DE DESENV. HABITACIONAL DO DF-CODHAB";"COMPANHIA DE DESENV. HABITACIONAL DO DF - CODHAB";"RECEITAS CORRENTES";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"SERVIÇOS DE COMPENSAÇÃO DE VARIAÇÕES SALARIAIS";"SERVIÇOS DE COMPENSAÇÕES DE VARIAÇÕES SALARIAS - SEDUH/IDHAB";"2009";;64.428,00;23.498,82;40.929,18;36,47;
"COMPANHIA DE DESENV. HABITACIONAL DO DF-CODHAB";"COMPANHIA DE DESENV. HABITACIONAL DO DF - CODHAB";"RECEITAS CORRENTES";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"SERVIÇOS FINANCEIROS";"JUROS DE EMPRÉSTIMOS - SEDUH/IDHAB";"2009";;3.014.294,00;237.765,35;2.776.528,65;7,89;
"COMPANHIA DE DESENV. HABITACIONAL DO DF-CODHAB";"COMPANHIA DE DESENV. HABITACIONAL DO DF - CODHAB";"RECEITAS CORRENTES";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"SERVIÇOS FINANCEIROS";"SEGUROS SOBRE FINANCIAMENTO  DE IMÓVEIS";"2009";;814.662,00;198.715,38;615.946,62;24,39;
